,Spam,Message
74,0,refund for yatra reference number   has been processed  your bank transaction id for the refund of rs    is    kindly note that the private sector banks may take     working days and public sector banks may take up to   working days to refund the amount in your account 
75,0,use   as your login otp  otp is confidential  paytm never calls you asking for otp  sharing it with anyone gives them full access to your paytm wallet 
76,0,paid rs     to mytatasky at     pm  wallet txn id   avail  bal rs    
77,0,data usage alert  you have used  mb data from your main account  for info on data packs  dial      
78,0,data usage alert  you have used  mb data from your main account  for info on data packs  dial      
79,0,welcome to bata club  rs   bonus points are added to ur a c  vld for   days   to get rs  xtra  edit ur profile    
80,0,"walnut auto verify code is   
now split bills with friends  using walnut   the smartest personal finance app"
81,0,recharge successful on       at    pm mrp  rs     stax  rs    talktime  rs    transid   national roaming benefits  local   std outgoing calls   p min for   days
82,0,  rs  is credit on your mobile as per wrong recharged 
83,0,thank you for downloading my airtel app  your one time password otp  for completing your registration on the app is    it is usable once and valid for   mins from the request  please do not share otp with anyone 
84,0,you paid uber rs      more savings on bigbasket when you pay using paytm  get    cashback on your  st paytm order   
85,0,your order for diary of a wimpy kid  the getaw    has been successfully placed  it will be delivered by   nov  thank you for shopping at amazon 
86,0,"hi customer   your ticket has been generated and sent to your email id


for spider man  homecoming   d   u a 

on sun    jul       pm 


at cinepolis  jagat mall  chandigarh  audi    


seats  executiv c  

booking id  wr hj  "
87,0,thank you for choosing mticket as your booking option on bookmyshow  for easy entry at the cinema  we request you to download the mticket image and save it in your photo gallery   
88,0,you paid uber rs      more savings on bigbasket when you pay using paytm  get    cashback on your  st paytm order   
89,0,you paid uber rs      more savings on bigbasket when you pay using paytm  get    cashback on your  st paytm order   
90,0,you paid uber rs      more savings on bigbasket when you pay using paytm  get    cashback on your  st paytm order   
91,0,you paid uber rs      more savings on bigbasket when you pay using paytm  get    cashback on your  st paytm order   
92,0,you paid uber rs      more savings on bigbasket when you pay using paytm  get    cashback on your  st paytm order   
93,0,you paid uber rs      more savings on bigbasket when you pay using paytm  get    cashback on your  st paytm order   
94,0,pls deposit rs  at any sbi branch  for your sbcollect ref  for 
95,0,sbcollect txn  dtd  rs  for is successful 
96,0,thank you for your interest in airtel  we have received your request for activation of mobile no     the same will be activated within   hours 
97,0,data usage alert   mb is remaining in your account  post quota  charges apply at  g  p  kb   g  p  kb  for data packs  dial      
98,0,paid rs      to uttam catters at     am  wallet txn id   avail  bal     
99,0,paid rs      to uttam catters at     am  wallet txn id   avail  bal     
100,0,received rs     from  xxxx  in your paytm wallet  wallet txn id     fashion end of season sale  
101,0,truecaller code  
102,0,dispatched  your package with new summer special usb fan m    will reach you by   jul  track at  
103,0,dispatched  your package with spigen rugged armor case for    will reach you by   jul  track at  
104,0,rs      has been paid to    for reference  wallet transaction id is    updated balance  rs      
105,0,your amazon order will be delivered by blue dart  amount payable is rs   track on  
106,0,your amazon order will be delivered by blue dart  amount payable is rs   track on  
107,0,let s chat on hangouts   
108,0,let s chat on hangouts   
109,0,received rs     from  xxxx  in your paytm wallet  wallet txn id        cashback on flights 
110,0,on the way  your amazon package with new summer special usb fan mini air conditioner w    is on time and will reach you by   jul  track at www amazon in orders
111,0,"hi kanishk  aarush gupta would like to chat with you on skype  it s free 

 "
112,0,added rs    to your paytm wallet  transaction id     current balance       products starting at rs   at sunday bazaar 
113,0,rs      has been paid to    for reference  wallet transaction id is    updated balance  rs      
114,0,arriving early  new summer special usb fan mini air conditioner water mist fan with lithium batt  will be delivered today amt  rs     
115,0,arriving early  new summer special usb fan mini air conditioner water mist fan with lithium batt  will be delivered today amt  rs     
116,0,your  order  will be  attempted by blue dart today  amount payble is rs    track on  
117,0,your order awb    will be attempted in next  mins  amt payable rs    go digital  pay via wallets  cards  upi  netbanking  asad khan 
118,0,delivered  your package with new summer special usb fan mini air conditioner water mist fa    was successfully delivered  more info at  
119,0,received rs     from  xxxx  in your paytm wallet  wallet txn id     for billpayments visit paytm
120,0,use   as your login otp  otp is confidential  paytm never calls you asking for otp  sharing it with anyone gives them full access to your paytm wallet 
121,0,paid rs     to irctc connect app  wallet txn id    updated balance rs      it may take   hrs for refund to reflect in case of cancellation non booking
122,0,"pnr   train   doj       cc rk umb dep     
aarush gupta c    
fare   sc     pg ins
"
123,0,pnr   pa insurance certificate s mailed for aarush g premium rs      to update nominee  visit  
124,0,your  order  will be  attempted by blue dart today  amount payble is rs    track on  
125,0,arriving early  spigen rugged armor case for oneplus   op    black k cs  will be delivered today amt  rs     
126,0,delivered  your package with spigen rugged armor case for oneplus   op    black k cs  was successfully delivered  more info at  
127,0,delivered  your package with spigen rugged armor case for oneplus   op    black k cs  was successfully delivered  more info at  
128,0,rs      has been paid to    for reference  wallet transaction id is    updated balance  rs      
129,1,"rs  unlimited local std call aur  gb  g  g  gb din   din t c
behtar data speed ke liye sim slot  mein lagayein 
offer seemit samay tak  airtel in   m par"
130,1,hi aarush  last weekend to avail buy   get   free  explore the range   experience best customer service at our exclusive stores  valid till   july  t c
131,1,high five aarush  friday has come  apply promo kidaan   enjoy rs   off   uber rides in chd tricity amb by friday    pm   celebratefriyay  uberon
132,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
133,0,received rs     from  xxxx  in your paytm wallet  wallet txn id     book movie tickets on paytm 
134,1,ayushmann khurrana and kriti sanon to be seen together in upcoming film bareilly ki barfi  for hellotunes dial   tollfree
135,1,aarush  thanks for being an uber vip rider  apply promo yay    enjoy    off   rides in chd tricity ambala  max disc rs   ride till sun   t uber com edn
136,1,heading to ur favourite mall restaurant  use promo yay    get    off   uber rides by sun in chd amb  max disc rs  ride  chalo chaliye ghuman   t uber com edn
137,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
138,1,use code cool  and ride micro around chandigarh at just rs   for upto   km till  th july  valid for first  k users  book now on bit ly c sms
139,1,"rs  unlimited local std aur roaming call  gb  g  g   gb din    din 
t c  niji upyog hetu 
offer seemit samay tak  click airtel in   mamo"
140,1,uber now connects chandigarh   ludhiana like never before  travel intercity at flat rs   for upto   kms  think intercity  think uber  read  t uber com cl 
141,1,what s better than   pizza    at    off frm pizza hut  valid on medium pan pizzas if u buy    call           online  
142,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
143,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
144,1,try an ola bike at  just rs   for   kms in mohali  zirakpur   kharar  whizz past traffic on a safe and comfortable ola bike  book now on bit ly  olacabs
145,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
146,1,what s better than   pizza    at    off frm pizza hut  valid on medium pan pizzas if u buy    call          online  
147,1,hi aarush  last day to avail buy   get   free  experience the widest collection with best quality at lowest prices  hurry  t c
148,0,use   as your login otp  otp is confidential  paytm never calls you asking for otp  sharing it with anyone gives them full access to your paytm wallet 
149,0,paid rs     to irctc connect app  wallet txn id    updated balance rs      it may take   hrs for refund to reflect in case of cancellation non booking
150,0,"pnr   train   doj       cc cdg rk dep     
aarush gupta c    
fare   sc     pg ins
"
151,1,"rs  loc std call  p m  din
rs   loc min  din
offer ke liye click airtel in   m
behtar data speed ke liye sim ko slot  mein lagayein
seemit samay tak"
152,1,dear rider  congrats  you ve won   free uber rides  apply promo nihaal   enjoy rs   off   rides in chd tricity amb by friday  how to apply promo t uber com edn
153,1,flat    off on pest control services  hicare pest protection for bedbugs termites cockroaches  free bird netting inspection  t c for details  sms pest to  
154,1,   cashback irctc par irctc se train ticket book karein aur pay karein airtel money dwara shartein laagu retailer se aaj hi apne wallet mein paise jama karein 
155,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
156,1,"rs  unlimited local std call aur  gb  g  g  gb din   din t c
behtar data speed ke liye sim slot  mein lagayein 
offer seemit samay tak  airtel in   m par"
157,1,use code chd and get    off upto rs   on   micro mini prime rides  valid till  th aug  applicable for first  k users  book now on bit ly c sms
158,1,rs     bonus points are added to ur bata club a c  vld til        redeem n get rs  flat off  enjoy shopping   bata  tnc 
159,1,your favourite regional entertainment now on airtel digitaltv  now get a new connection for rs    get benefits upto rs   give a missed call on  
160,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
161,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
162,1,"rs  unlimited local std aur roaming call  gb  g  g   gb din    din 
t c  niji upyog hetu 
offer seemit samay tak  click airtel in   mamo"
163,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
164,1,ride share express at just rs   upto   km along popular fixed routes with no deviations  book now on bit ly c sms
165,1,mile ho tum jaisi hello tune chune aur free mein unlimited bar badlein  airtel se call   nishulk   mauka smartphone aur car jeetne ka  call   nishulk 
166,1,celeb zone service has been activated   rs    for  day s  txn id n    aug       service will be renewed after validity expiry to use click  
167,1,thanks for choosing celeb zone on your airtel mobile  you have been charged rs    for  days a c balance  rs    at     to deactivate call or sms stop to  
168,1,sat sri akal aarush  enjoy   free uber rides  use promo nihaal   get rs   off   rides in chd tricity or amb before friday    pm  hun gedi uber vich 
169,0,"these are the services started on your airtel mobile 
 choose the option you want to stop 
    celeb zone
"
170,0,we have received your request to stop services  service options will be sent to you shortly 
171,0,we have not received any input from you in the last   mins  to stop a service reply to this message with  stop  
172,0,"these are the services started on your airtel mobile 
 choose the option you want to stop 
    celeb zone
"
173,0,we have received your request to stop services  service options will be sent to you shortly 
174,0,your request has been received and the service will be stopped on your airtel mobile within  min 
175,0,celeb zone service has been deactivated on your airtel mobile thanks for using the service for more services call   or click  
176,1,"offer sabhi handset par 
rs  unlimited loc std  gb data  gb din   din 
sim slot  mein lagao  behtar speed pao
t c  seemit samay offer click airtel in   m"
177,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
178,1,enjoy pizza hut pan pizza     off  valid on   or more medium pan pizzas in store   for delivry  walk in call          
179,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
180,1,pay no more than rs   for  km  rs   for  km   rs   for  km for ola share in chandigarh  use code sharechd  valid till  th aug  book now on bit ly c sms
181,1,hey aarush  you ve won   free uber rides  apply promo nihaal   get rs   off   rides in chd tricity or amb till friday  hun gedi uber vich  t uber com edn
182,1,"rs   gb  g  g   g    din
rs   gb  g  g   din
offer ke liye  click airtel in   m
behtar data speed ke liye sim ko slot   mein lagayein
seemit samay tak"
183,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
184,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
185,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
186,1,enjoy   free uber rides today  apply promo nihaal   get rs   off   rides in chd tricity ambala  valid till friday midnight  how to apply promo   t uber com edn
187,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
188,1,"offer sabhi handset par 
rs  unlimited loc std  gb data  gb din   din 
sim slot  mein lagao  behtar speed pao
t c  seemit samay offer click airtel in   m"
189,1,aarush  heading home to ludhiana soon  uber it   pay no more than flat rs   for rides between chandigarh   ludhiana upto   kms  read  t uber com tle
190,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
191,1, bata   raksha bandhan special  get rs  flat off on min bill of rs   redeem ur bonus bata club points bfor  aug  tnc 
192,1,welcome to haryana on airtel india s fastest network  enjoy unlimited incoming calls free as you roam anywhere in india data rates same as home network for discounted outgoing rates  dial      
193,0,"you have   missed call s  from     last call            
for top hellotunes  airtel friend locator or ndtv news call    tollfree "
194,0,you have   missed call s  from     last call            
195,0,"you have   missed call s  from     last call            
for top hellotunes  airtel call manager or live aarti call    tollfree "
196,1,welcome to punjab on airtel india s first open network  visit airtel in opennetwork to check network coverage  all incoming calls free  call    p rs   per min for local  std calls   data rates remain same as in your home network 
197,1,the government of punjab welcomes you to punjab  please dial toll free punjab government s help line number    in case of any help 
198,1,welcome to amazon pay balance  shop with frictionless   click payment   get access to instant refunds and exclusive cashbacks  add money now 
199,0,your order with order id       has been successfully placed  please check email for more details  thank you for shopping at amazon 
200,0,your order with order id       has been successfully placed  please check email for more details  thank you for shopping at amazon 
201,0,hi customer  your amazon pay balance has been updated with rs     as per your request  total balance is now rs      thank you
202,0,your order for spigen nexus  x case cover thin    has been successfully placed  it will be delivered by   aug  thank you for shopping at amazon 
203,0,dear customer there are no transactions in your account xxxxx  since last one year pls operate the acccount and avoid stamping your account as inoperative
204,1,aarush  heading to ur favourite mall restaurant  use promo nimbus   get    off   uber rides by sun in chd amb  max disc rs   ride  chalo chaliye ghuman 
205,0,dispatched  your package with spigen nexus  x case cover t    will reach you by   aug  track at  
206,1,"offer sabhi handset par 
rs  unlimited local std roaming call  gb data  gb din   din
t c  niji upyog hetu 
offer seemit samay tak  click airtel in   mamo"
207,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
208,0,recharge done on          am mrp rs    gst    payable by company distributor retailer rs    transid  internet for   days  dial      
209,1, mb  g  g  cashback excluded   validity   daysinsert airtel sim in slot     enjoy high speed internet
210,1,what s better than   pizza    at    off frm pizza hut  valid on medium pan pizzas if u buy    call        online  
211,0,enter   to link your paytm wallet and allow uber to charge for rides  if you don t have a paytm account  we ll create one  terms at www paytm com terms
212,0,paid rs     to uber  book movie tickets on paytm   get    cashback on next   uber rides till  th aug   
213,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
214,1,"your data pack gives free access to live tv  movies and music  download now and get   mb free  tca   click 
mov wynk in tv 
and  
wynk in mu msc"
215,1,it s raining  it s pouring   we re sharing  use promo nimbus   enjoy    off   uber rides in chd tricity amb by sun midnight  max disc rs  ride  t uber com edn
216,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
217,0,"hi customer   your ticket has been generated and sent to your email id


for dunkirk  u a 

on sun    aug       pm 


at pvr  elante  chandigarh  audi    


seats  normal d  

booking id  wtw wlb 


don t go hungry  get flat rs   off on your favourite meal  use coupon code combo   click here   "
218,0,"hi customer   your ticket has been generated and sent to your email id

for dunkirk  u a 
on sun    aug       pm 

at pvr  elante  chandigarh  audi    

seats  normal d  
booking id  wtw wlb 

don t go hungry  get flat rs   off on your favourite meal  use coupon code combo   click here   "
219,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
220,1,lenskart big rakshabandhan sale  buy   get   on eyewear  only this weekend at w lenskart com s cskwrq mmc bj   store  lenskart com st
221,0,thank you for choosing mticket as your booking option on bookmyshow  for easy entry at the cinema  we request you to download the mticket image and save it in your photo gallery   
222,1,"rs  loc std call  p m  din
rs   loc min  din
offer ke liye click airtel in   m
behtar data speed ke liye sim ko slot  mein lagayein
seemit samay tak"
223,0,data usage alert   mb is remaining in your account  post quota  charges apply at  g  p  kb   g  p  kb  for data packs  dial      
224,1,sushant singh rajput to get special training at nasa for his upcoming film chanda mama door ke  for hellotunes dial   tollfree
225,0,paid rs     to uber  book movie tickets on paytm   get    cashback on next   uber rides till  th aug   
226,0,  is your one time password  otp  to open your kotak   account  please enter this otp and get started 
227,0,"otp for aadhaar  xxxx   is   and is valid for   minutes 
 generated at             "
228,0,you have used the aadhaar otp to open kotak   account in case you have not tried to open account with kotak bank  please call at   
229,1,"offer sabhi handset par 
rs  unlimited loc std  gb data  gb din   din 
sim slot  mein lagao  behtar speed pao
t c  seemit samay offer click airtel in   m"
230,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
231,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
232,1,dear rider  now pay for uber rides using your bank s upi  select  payments  and  add payment method  in the menu of your uber app  available on android only 
233,0,uber india systems pvt ltd has requested rs     from you through upi 
234,1,welcome to haryana on airtel india s fastest network  enjoy unlimited incoming calls free as you roam anywhere in india data rates same as home network for discounted outgoing rates  dial      
235,1,use code olaoff and get flat rs   off on   micro mini prime rides  applicable for first  k users  valid till  th aug  book now on bit ly c sms
236,1,ayurvedic capsule se motapa khatam kare kewal   din me   kg government approved    ayurvedic    money back guarantee  for details  sms ac to  
237,0,use code   to confirm your phone number on steam
238,0,hi  welcome to   just a few more steps to get a savings account with up to    interest per annum  please fill your details now  t c apply
239,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
240,1,mile ho tum jaisi hello tune chune aur free mein unlimited bar badlein  airtel se call   nishulk   mauka gold aur kwid car jeetne ka  call   nishulk 
241,1,"offer sabhi handset par 
rs  unlimited local std roaming call  gb data  gb din   din
t c  niji upyog hetu 
offer seemit samay tak  click airtel in   mamo"
242,1,considerably increase chances of cracking gre  join manya the princeton review chandigarh  new weekday and weekend batches are staring from  th    th a
243,1,ug enroll   register your seat for details cont  
244,1,considerably increase chances of cracking gre  join manya the princeton review chandigarh  new weekday and weekend batches are staring from  th    th aug enroll   register your seat for details cont  
245,1,considerably increase chances of cracking gre  join manya the princeton review chandigarh  new weekday and weekend batches are staring from  th    th aug enroll   register your seat for details cont  
246,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
247,1,domino s super value meals now  rs    enjoy ur fav pizzas  garlic bread  burger pizza   taco mexicana starting     walk in call     goo gl cqthqp t c
248,0,on the way  your amazon package with spigen nexus  x case cover thin fit series black     is on time and will reach you by   aug  track at www amazon in orders
249,1,dear customer  visit www  cyberswachhatakendra gov in to know latest information about malware and security best practices  download  free bot removal tool  to secure your system
250,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
251,0,arriving early  spigen nexus  x case cover thin fit series black sgp  will be delivered by amzagent      
252,1,"offer sabhi handset par 
rs  unlimited loc std  gb data  gb din   din 
sim slot  mein lagao  behtar speed pao
t c  seemit samay offer click airtel in   m"
253,1,enjoy pizza hut pan pizza     off  valid on   or more medium pan pizzas in store   for delivry  walk in call        online  
254,0,delivered  your package with spigen nexus  x case cover thin fit series black sgp  was successfully delivered  more info at  
255,1,use code movies    get    off upto inr   on your favorite movies  only on bookmyshow  book now   t c apply   
256,1,use code freechd and get    cashback upto rs   on your next   auto rides  valid till  th august  book now on bit ly c sms
257,1,"offer sabhi handset par 
rs  unlimited loc std  gb data  gb din   din 
sim slot  mein lagao  behtar speed pao
t c  seemit samay offer click airtel in   m"
258,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
259,1,this friendship week  buy an ola share pass at re     take an ola share  spark a new connection  offer valid from  th  th august  bit ly c sms
260,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
261,1,dear customer  thank you for speaking with our phone banking officer   as requested we have arranged a call back for you 
262,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
263,1,"offer sabhi handset par 
rs  unlimited loc std  gb data  gb din   din 
sim slot  mein lagao  behtar speed pao
t c  seemit samay offer click airtel in   m"
264,1,akshay kumar to be seen as a hockey player in upcoming film gold  for hellotune dial   tollfree
265,1,this long weekend travel uber intercity between chandigarh   ludhiana at flat rs   upto   kms  think ludhiana  think uber intercity  read  t uber com cl 
266,1,manya the princeton review chandigarh center leading in test prep announces registration open for gmat new weekday   weekend batches starting from  th   th july cont  
267,1,"your fav domino s veg pizzas just got better   soft crust more toppings tastier sauce   more cheese  walk in order     goo gl cqthqp  app t c
 badalgaya"
268,1,use code olaoff and get flat rs   off on   micro mini prime rides  applicable for first  k users  valid till  th aug  book now on bit ly c sms
269,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
270,1,go wild   free with our brand new fashion   home collection at a chumbak store near you    
271,1,hi aarush  peter england launches new aw collection  get rs   voucher on min purchase of rs   redeemable on your next purchase  valid till   aug  t c
272,1,our friendship week deal is running out  hurry  take an ola share and spark a new connection  offer valid from  th  th august  bit ly c sms
273,1,"offer sabhi handset par 
rs  unlimited local std roaming call  gb data  gb din   din
t c  niji upyog hetu 
offer seemit samay tak  click airtel in   mamo"
274,1,sort your weekend scenes  get flat    off at pizza hut  valid on medium pan pizzas if u buy    call       online  
275,1,use code ldh    travel to ludhiana with ola outstation at fares starting at rs   only  regular fares apply after   km and   hrs  book now bit ly c sms
276,1,"bahubali offer 
rs  unltd sabhi call  gb  g  g  gb din  din
rs  unltd airtel mobile call  gb  gb din  din
niji upyog hetu
t c  click airtel in   m"
277,1,aarush  this independence day weekend uber between chandigarh   ludhiana at flat rs   upto   kms  no promo code needed  think ludhiana  think uber 
278,1,"headmaster   offers
   silk treatment  any length     
   hair spa     in    
   facial     in rs     o  whitening 
   valid till   aug "
279,0,rs      has been paid to    for reference  wallet transaction id is    updated balance  rs      
280,0,dear member  thank you for visiting giani  your invoice no is in   total amount is     thanks
281,0,data usage alert   mb is remaining in your account  for data packs  dial      
282,1,this independence day  get your right to affordable rides  ride an ola bike at just rs   for upto   km  tca  know more  
283,1,check balance  recharge mobile and get exclusive deals   cashback on my airtel app  click here to use the app now www airtel in   in
